Y,TRANSPORTE,AGS,BC,BCS,CAM,COAH,COL,CHIS,CHIH,CDMX,DUR,GUA,GUE,HID,JAL,EDOMEX,MICH,MOR,NAY,NL,OAX,PUE,QUE,QRO,SLP,SIN,SON,TAB,TAMPS,TLAX,VER,YUC,ZAC
2005,TP,2003,10049,2942,801,34139,855,4934,5407,28514,2169,19407,50498,3507,10566,8419,8683,4577,1577,14855,1932,8387,3241,1285,3291,5826,2894,2877,4638,6443,9941,2223,1937
2006,TP,2001,10208,2594,1156,40135,878,4923,5314,30405,2304,19605,41395,3559,10353,49805,8918,4327,1614,15366,1482,8885,3294,1648,3453,6107,3516,2169,4762,5785,10451,1828,1949
2007,TP,1989,11378,1895,1396,46585,865,7994,5172,30675,2353,19547,42075,3619,10554,46639,9211,4884,1628,15047,1709,9117,2968,1840,3580,6440,4946,2224,5240,5634,11036,1926,1912
2008,TP,1990,12456,2008,1227,54492,845,8396,5344,32378,2405,18341,42748,3663,10971,43254,9886,4547,1641,15182,2365,9121,3331,1958,3780,6524,5794,2298,5402,5696,11133,1984,2127
2009,TP,1982,12600,2129,870,52088,800,8372,5635,32304,2424,18615,44461,3759,10795,44131,10878,4631,1646,15321,3567,9237,3389,2019,3845,6611,5940,2386,5613,5733,11003,2530,2151
2010,TP,2010,4664,3540,915,56354,826,8325,6032,32387,2419,19113,48953,3746,11071,10909,10794,4894,1657,15660,3712,12501,3470,2054,3814,6526,6377,2457,5930,5763,11124,2519,2222
2011,TP,2013,5117,4206,829,58322,715,8555,5627,32838,2446,19508,53965,3736,11159,14851,11016,5394,1759,16129,3853,12662,3274,2239,3840,6683,5861,2481,5995,5828,11964,2520,2180
2012,TP,1982,4491,4224,870,62286,743,9076,5610,31342,2305,20280,55476,3723,10735,16462,11741,5763,1750,16443,6795,12855,3332,2339,3927,6930,5814,2706,5968,5916,11922,2560,2154
2013,TP,2004,4934,4385,912,65640,729,9024,5825,31047,2328,21592,56715,3767,10860,17499,12500,5729,1779,16896,7113,12277,2686,2396,4025,7098,5925,2782,5820,5955,12285,2573,2044
2014,TP,2081,5148,4709,933,68793,717,9028,6219,31186,2376,23456,56879,3792,11191,18844,13238,5595,1812,8265,7474,11103,2910,2344,4085,7340,5925,2854,5977,6023,12930,2601,1892
2015,TP,1421,5407,4869,865,72174,768,8295,6613,33189,2390,25628,57282,3876,11468,19367,12392,5600,1815,8374,8009,11007,3924,2397,4292,7449,5925,3049,5944,6061,13086,2631,1885
2016,TP,1476,6084,5468,891,77572,1361,9025,7929,32462,2646,27611,57474,3961,11538,20682,13260,3372,1864,8320,7870,10813,3672,2542,4499,7632,4902,3020,5926,6131,13111,2700,1958
2017,TP,1470,10082,5804,940,98620,1395,9011,8459,32245,2686,29562,58380,2137,11576,23955,14173,7712,1915,8700,4149,11036,3811,2613,4634,7987,5062,2987,5969,6354,13110,2778,1808
2018,TP,3510,18273,2386,939,98693,1424,9153,8897,31901,2724,30051,58402,2062,10845,54614,13690,10630,1935,10169,4743,11238,3889,2561,5147,7916,4397,2991,5986,6406,13158,2880,1969
2019,TP,3531,19178,2522,811,110002,1431,8585,9527,31819,2755,30733,58460,1753,11363,57121,4609,11131,1953,11403,4795,9486,3892,2570,5305,8274,7317,2883,6308,6511,12588,2901,2089
2020,TP,3503,19706,2553,815,114809,1442,8704,10033,31913,2794,31463,58504,1573,12162,57046,4258,11046,1973,12955,4807,9386,3758,2516,5326,8407,7578,2894,6310,6121,11710,2913,2111
2021,TP,3429,11391,2315,823,119360,1446,8768,10373,31946,2780,31774,58782,1305,12260,50013,4603,11134,1994,13824,4784,9348,3727,2512,5312,8419,8171,2767,6504,6257,11498,2957,2088
1980,carga,19513,83912,18436,7082,51438,18555,26311,67754,187205,38486,57004,18522,24000,114260,84023,58011,28690,16083,66447,29492,56647,12911,5659,28305,52488,79535,11317,81999,9235,85323,16548,15625
